Time [s],Value,Parity Error,Framing Error
0.000000000000000,0x7E,,
0.000573000000000,0x81,,
0.001146000000000,0x7D,,
0.001718875000000,0x5E,,
0.002291875000000,0x7E,,
0.003959875000000,0x7E,,
0.004597000000000,0x01,,
0.005237250000000,0x4C,,
0.005898750000000,0x4D,,
0.006539125000000,0x01,,
0.007179375000000,0x56,,
0.007819750000000,0x31,,
0.008456625000000,0x35,,
0.009097000000000,0xAC,,
0.009756750000000,0x7E,,
0.488464625000000,0x7E,,
0.489037500000000,0x82,,
0.489610500000000,0x7D,,
0.490183375000000,0x5D,,
0.490756500000000,0x7E,,
0.976616625000000,0x7E,,
0.977189500000000,0x83,,
0.977762500000000,0x7C,,
0.978335500000000,0x7E,,
1.464683875000000,0x7E,,
1.465256875000000,0x84,,
1.465829875000000,0x7B,,
1.466402750000000,0x7E,,
1.898351125000000,0x7E,,
1.898924125000000,0x85,,
1.899497125000000,0x7A,,
1.900070000000000,0x7E,,
2.332018500000000,0x7E,,
2.332591375000000,0x86,,
2.333164375000000,0x79,,
2.333737250000000,0x7E,,
2.768342125000000,0x7E,,
2.768915125000000,0x87,,
2.769488125000000,0x78,,
2.770061125000000,0x7E,,
3.204561875000000,0x7E,,
3.205134750000000,0x88,,
3.205707750000000,0x77,,
3.206280750000000,0x7E,,
3.638229125000000,0x7E,,
3.638802125000000,0x89,,
3.639375000000000,0x76,,
3.639948125000000,0x7E,,
4.071896375000000,0x7E,,
4.072469375000000,0x8A,,
4.073042250000000,0x75,,
4.073615250000000,0x7E,,
4.505563625000000,0x7E,,
4.506136625000000,0x8B,,
4.506709625000000,0x74,,
4.507282500000000,0x7E,,
4.939231000000000,0x7E,,
4.939803875000000,0x8C,,
4.940376875000000,0x73,,
4.940949875000000,0x7E,,
5.372898250000000,0x7E,,
5.373471125000000,0x8D,,
5.374044125000000,0x72,,
5.374617125000000,0x7E,,
5.806637125000000,0x7E,,
5.807210000000000,0x8E,,
5.807783000000000,0x7D,,
5.808356000000000,0x5E,,
5.808929000000000,0x7E,,
5.809502000000000,0x00,,
5.810075000000000,0x00,,
6.211138000000000,0x7E,,
6.211711000000000,0x81,,
6.212283875000000,0x7D,,
6.212856875000000,0x5E,,
6.213429875000000,0x7E,,
6.215101375000000,0x7E,,
6.215741625000000,0x01,,
6.216378625000000,0x4C,,
6.217018875000000,0x4D,,
6.217656000000000,0x01,,
6.218296250000000,0x56,,
6.218935000000000,0x31,,
6.219572000000000,0x35,,
6.220212250000000,0xAC,,
6.220869000000000,0x7E,,
6.221751125000000,0x7E,,
6.222324000000000,0x91,,
6.222896875000000,0x24,,
6.223470000000000,0x12,,
6.224042875000000,0x58,,
6.224615875000000,0x7E,,
6.225461625000000,0x7E,,
6.226100250000000,0x11,,
6.226760000000000,0x7E,,
6.468485250000000,0x7E,,
6.469058250000000,0xA1,,
6.469631125000000,0x24,,
6.470204125000000,0x90,,
6.470777125000000,0x1F,,
6.471350000000000,0x3F,,
6.471923125000000,0x1F,,
6.472496000000000,0x3F,,
6.473069000000000,0x00,,
6.473642000000000,0x90,,
6.474215000000000,0x00,,
6.474787875000000,0x00,,
6.475360875000000,0x00,,
6.475933875000000,0x00,,
6.476506875000000,0x00,,
6.477079875000000,0x90,,
6.477652750000000,0x00,,
6.478225750000000,0x00,,
6.478798750000000,0x00,,
6.479371750000000,0x00,,
6.479944625000000,0x00,,
6.480517750000000,0x90,,
6.481090625000000,0x00,,
6.481663625000000,0x00,,
6.482236625000000,0x00,,
6.482809500000000,0x00,,
6.483382500000000,0x00,,
6.483955500000000,0x90,,
6.484528500000000,0x00,,
6.485101500000000,0x00,,
6.485674375000000,0x00,,
6.486247375000000,0x00,,
6.486820375000000,0x00,,
6.487393375000000,0xEA,,
6.487966375000000,0x7E,,
6.499004375000000,0x7E,,
6.499641500000000,0x21,,
6.500301250000000,0x7E,,
6.501698250000000,0x7E,,
6.502271125000000,0xA1,,
6.502844125000000,0x23,,
6.503417125000000,0x90,,
6.503990000000000,0x01,,
6.504563125000000,0x01,,
6.505136000000000,0x1F,,
6.505709125000000,0x03,,
6.506282000000000,0x1F,,
6.506854875000000,0x90,,
6.507428000000000,0x0C,,
6.508000875000000,0x7C,,
6.508574000000000,0x0C,,
6.509146875000000,0x00,,
6.509719875000000,0x00,,
6.510292875000000,0x90,,
